club_id,club,country_code,source_url,source_page,snapshot_date,competition,gender,entity_id,entity_type,name,confederation,has_stats,matches,goals,goals_against,possession_pct,high_press_pct,counter_press_pct,pass_completion_pct,participation_min_usd,participation_max_usd
mamelodisundownsfc,Mamelodi Sundowns FC,RSA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,23,2025-07-04,FIFA Club World Cup 2025,male,mamelodisundownsfc,club,Mamelodi Sundowns FC,CAF,True,3,4,4,59.333,7.333,15.333,89.677,9550000,9550000
manchestercity,Manchester City,ENG,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,24,2025-07-04,FIFA Club World Cup 2025,male,manchestercity,club,Manchester City,UEFA,True,4,16,6,66.4,14.0,14.0,93.438,12810000,38190000
palmeiras,Palmeiras,BRA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,25,2025-07-04,FIFA Club World Cup 2025,male,palmeiras,club,Palmeiras,CONMEBOL,True,5,6,4,41.86,4.8,9.0,83.918,15210000,15210000
parissaintgermain,Paris Saint-Germain,FRA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,26,2025-07-04,FIFA Club World Cup 2025,male,parissaintgermain,club,Paris Saint-Germain,UEFA,True,7,16,4,62.143,10.0,13.286,91.771,12810000,38190000
realmadridcf,Real Madrid C. F.,ESP,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,27,2025-07-04,FIFA Club World Cup 2025,male,realmadridcf,club,Real Madrid C. F.,UEFA,True,6,11,8,45.85,5.0,8.0,90.171,12810000,38190000
seattlesoundersfc,Seattle Sounders FC,USA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,28,2025-07-04,FIFA Club World Cup 2025,male,seattlesoundersfc,club,Seattle Sounders FC,Concacaf,True,3,2,7,40.267,5.667,8.0,84.604,9550000,9550000
slbenfica,SL Benfica,POR,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,29,2025-07-04,FIFA Club World Cup 2025,male,slbenfica,club,SL Benfica,UEFA,True,4,10,6,44.15,4.0,10.75,84.911,12810000,38190000
ulsanhd,Ulsan HD,KOR,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,30,2025-07-04,FIFA Club World Cup 2025,male,ulsanhd,club,Ulsan HD,AFC,True,3,2,6,32.133,4.0,7.0,81.972,9550000,9550000
urawareddiamonds,Urawa Red Diamonds,JPN,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,31,2025-07-04,FIFA Club World Cup 2025,male,urawareddiamonds,club,Urawa Red Diamonds,AFC,True,3,2,9,32.5,6.333,8.667,78.147,9550000,9550000
wydadac,Wydad AC,MAR,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,32,2025-07-04,FIFA Club World Cup 2025,male,wydadac,club,Wydad AC,CAF,True,3,2,8,37.133,4.333,9.667,83.434,9550000,9550000
