match_id,date,club_id,club,opponent,goals,goals_against,source_url,source_page,phases_page,possession_pct,formation,build_up_unopposed_pct,build_up_opposed_pct,progression_pct,final_third_pct,long_ball_pct,attacking_transition_pct,counter_attack_pct,high_press_pct,mid_press_pct,low_press_pct,high_block_pct,mid_block_pct,low_block_pct,counter_press_pct,passes_attempted,passes_completed,line_breaks_completed,direct_pressures,shots,distance_m,pass_completion_pct
51,2025-06-29,parissaintgermain,Paris Saint-Germain,Inter Miami CF,4,0,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M51%20PSG%20V%20MIA%20POST%20MATCH%20REPORT.pdf,3,4,63.3,4-1-2-3,42.0,19.0,17.0,21.0,0.0,6.0,1.0,10.0,6.0,1.0,7.0,9.0,9.0,11.0,767.0,711.0,152.0,47.0,19.0,109033.4,92.69882659713168
51,2025-06-29,intermiamicf,Inter Miami CF,Paris Saint-Germain,0,4,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M51%20PSG%20V%20MIA%20POST%20MATCH%20REPORT.pdf,3,4,32.3,4-4-2,17.0,15.0,19.0,10.0,5.0,17.0,2.0,4.0,2.0,1.0,3.0,26.0,37.0,5.0,385.0,323.0,97.0,35.0,8.0,106978.2,83.8961038961039
52,2025-06-29,crflamengo,CR Flamengo,FC Bayern München,2,4,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M52%20FLA%20V%20BAY%20POST%20MATCH%20REPORT.pdf,3,4,46.8,4-2-3-1,34.0,17.0,20.0,11.0,3.0,11.0,2.0,9.0,7.0,1.0,5.0,15.0,19.0,10.0,497.0,433.0,85.0,50.0,12.0,112303.4,87.12273641851107
52,2025-06-29,fcbayernmunchen,FC Bayern München,CR Flamengo,4,2,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M52%20FLA%20V%20BAY%20POST%20MATCH%20REPORT.pdf,3,4,45.5,4-2-3-1,24.0,17.0,22.0,23.0,3.0,12.0,2.0,11.0,5.0,1.0,9.0,14.0,15.0,10.0,461.0,399.0,103.0,46.0,9.0,116909.3,86.55097613882863
53,2025-06-30,fcinternazionalemilano,FC Internazionale Milano,Fluminense FC,0,2,https://www.fifatrainingcentre.com/media/native/practice/M53%20INT%20V%20FLU%20POST%20MATCH%20REPORT.pdf,3,4,60.0,3-5-2,44.0,14.0,22.0,23.0,1.0,9.0,1.0,4.0,6.0,1.0,3.0,12.0,9.0,15.0,518.0,456.0,114.0,33.0,16.0,107905.9,88.03088803088804
53,2025-06-30,fluminensefc,Fluminense FC,FC Internazionale Milano,2,0,https://www.fifatrainingcentre.com/media/native/practice/M53%20INT%20V%20FLU%20POST%20MATCH%20REPORT.pdf,3,4,30.5,5-3-2,21.0,13.0,14.0,11.0,8.0,19.0,3.0,2.0,3.0,0.0,4.0,17.0,43.0,8.0,259.0,187.0,60.0,45.0,11.0,102570.5,72.2007722007722
54,2025-06-30,manchestercity,Manchester City,Al Hilal,3,4,https://www.fifatrainingcentre.com/media/native/practice/M54%20MCI%20V%20HIL%20POST%20MATCH%20REPORT.pdf,3,4,63.1,4-1-2-3,41.0,20.0,19.0,44.0,0.0,8.0,1.0,11.0,4.0,0.0,10.0,8.0,5.0,12.0,856.0,796.0,179.0,37.0,32.0,153482.4,92.99065420560747
54,2025-06-30,alhilal,Al Hilal,Manchester City,4,3,https://www.fifatrainingcentre.com/media/native/practice/M54%20MCI%20V%20HIL%20POST%20MATCH%20REPORT.pdf,3,4,28.4,3-5-2,24.0,14.0,19.0,10.0,6.0,18.0,5.0,1.0,1.0,1.0,2.0,14.0,57.0,6.0,386.0,330.0,109.0,60.0,17.0,150231.9,85.49222797927462
55,2025-07-01,realmadridcf,Real Madrid C. F.,Juventus FC,1,0,https://www.fifatrainingcentre.com/media/native/practice/M55%20RMA%20V%20JUV%20POST%20MATCH%20REPORT.pdf,3,4,49.4,3-4-3,45.0,17.0,14.0,28.0,2.0,10.0,3.0,8.0,5.0,1.0,8.0,23.0,21.0,11.0,631.0,585.0,103.0,44.0,21.0,109842.2,92.70998415213946
55,2025-07-01,juventusfc,Juventus FC,Real Madrid C. F.,0,1,https://www.fifatrainingcentre.com/media/native/practice/M55%20RMA%20V%20JUV%20POST%20MATCH%20REPORT.pdf,3,4,43.9,3-4-3,40.0,17.0,14.0,13.0,4.0,16.0,1.0,1.0,1.0,0.0,1.0,16.0,49.0,7.0,485.0,439.0,103.0,27.0,6.0,111762.59999999999,90.51546391752578
56,2025-07-01,borussiadortmund,Borussia Dortmund,CF Monterrey,2,1,https://www.fifatrainingcentre.com/media/native/practice/M56%20BVB%20V%20CFM%20POST%20MATCH%20REPORT.pdf,3,4,36.8,3-4-3,28.0,15.0,21.0,24.0,4.0,14.0,1.0,8.0,6.0,0.0,5.0,32.0,20.0,7.0,450.0,385.0,107.0,53.0,6.0,119444.5,85.55555555555556
56,2025-07-01,cfmonterrey,CF Monterrey,Borussia Dortmund,1,2,https://www.fifatrainingcentre.com/media/native/practice/M56%20BVB%20V%20CFM%20POST%20MATCH%20REPORT.pdf,3,4,55.8,3-5-2,38.0,20.0,20.0,14.0,2.0,9.0,1.0,3.0,4.0,1.0,5.0,12.0,29.0,10.0,637.0,568.0,124.0,29.0,13.0,114666.9,89.1679748822606
57,2025-07-04,fluminensefc,Fluminense FC,Al Hilal,2,1,https://www.fifatrainingcentre.com/media/native/practice/M57%20FLU%20V%20HIL%20POST%20MATCH%20REPORT.pdf,3,4,38.3,3-5-2,37.0,13.0,11.0,11.0,5.0,14.0,1.0,2.0,4.0,1.0,6.0,21.0,34.0,8.0,354.0,305.0,61.0,43.0,9.0,99266.8,86.15819209039547
57,2025-07-04,alhilal,Al Hilal,Fluminense FC,1,2,https://www.fifatrainingcentre.com/media/native/practice/M57%20FLU%20V%20HIL%20POST%20MATCH%20REPORT.pdf,3,4,53.7,3-5-2,44.0,15.0,20.0,17.0,2.0,9.0,0.0,3.0,5.0,1.0,2.0,26.0,22.0,11.0,461.0,402.0,81.0,34.0,14.0,102940.3,87.20173535791757
58,2025-07-04,palmeiras,Palmeiras,Chelsea FC,1,2,https://www.fifatrainingcentre.com/media/native/practice/M58%20SEP%20V%20CHE%20POST%20MATCH%20REPORT.pdf,3,4,37.9,5-3-2,28.0,11.0,18.0,15.0,5.0,17.0,3.0,4.0,4.0,1.0,2.0,26.0,24.0,9.0,315.0,259.0,61.0,50.0,7.0,105928.9,82.22222222222223
58,2025-07-04,chelseafc,Chelsea FC,Palmeiras,2,1,https://www.fifatrainingcentre.com/media/native/practice/M58%20SEP%20V%20CHE%20POST%20MATCH%20REPORT.pdf,3,4,51.5,4-1-2-3,39.0,12.0,18.0,20.0,3.0,12.0,2.0,5.0,6.0,1.0,7.0,19.0,13.0,10.0,509.0,454.0,102.0,45.0,19.0,106584.9,89.19449901768174
59,2025-07-05,parissaintgermain,Paris Saint-Germain,FC Bayern München,2,0,https://www.fifatrainingcentre.com/media/native/practice/M59%20PSG%20V%20BAY%20POST%20MATCH%20REPORT.pdf,3,4,43.6,4-1-2-3,26.0,17.0,19.0,9.0,6.0,16.0,2.0,10.0,5.0,0.0,3.0,7.0,24.0,13.0,376.0,295.0,71.0,46.0,10.0,113191.3,78.45744680851064
59,2025-07-05,fcbayernmunchen,FC Bayern München,Paris Saint-Germain,0,2,https://www.fifatrainingcentre.com/media/native/practice/M59%20PSG%20V%20BAY%20POST%20MATCH%20REPORT.pdf,3,4,48.8,4-2-3-1,17.0,14.0,18.0,28.0,4.0,18.0,0.0,17.0,5.0,1.0,7.0,10.0,6.0,11.0,430.0,350.0,102.0,50.0,12.0,120934.8,81.3953488372093
60,2025-07-05,realmadridcf,Real Madrid C. F.,Borussia Dortmund,3,2,https://www.fifatrainingcentre.com/media/native/practice/M60%20RMA%20V%20BVB%20POST%20MATCH%20REPORT.pdf,3,4,45.5,4-2-3-1,31.0,19.0,18.0,18.0,4.0,12.0,2.0,4.0,3.0,1.0,7.0,26.0,26.0,6.0,525.0,463.0,107.0,28.0,15.0,109790.90000000001,88.19047619047619
60,2025-07-05,borussiadortmund,Borussia Dortmund,Real Madrid C. F.,2,3,https://www.fifatrainingcentre.com/media/native/practice/M60%20RMA%20V%20BVB%20POST%20MATCH%20REPORT.pdf,3,4,49.6,3-5-2,44.0,15.0,18.0,19.0,1.0,9.0,1.0,4.0,5.0,0.0,8.0,22.0,21.0,8.0,563.0,511.0,110.0,34.0,12.0,114339.5,90.76376554174068
61,2025-07-08,fluminensefc,Fluminense FC,Chelsea FC,0,2,https://www.fifatrainingcentre.com/media/native/practice/M61%20FLU%20V%20CHE%20POST%20MATCH%20REPORT.pdf,3,4,44.2,3-4-1-2,33.0,17.0,18.0,14.0,2.0,12.0,1.0,7.0,6.0,0.0,4.0,24.0,23.0,6.0,448.0,392.0,99.0,48.0,11.0,101069.7,87.5
61,2025-07-08,chelseafc,Chelsea FC,Fluminense FC,2,0,https://www.fifatrainingcentre.com/media/native/practice/M61%20FLU%20V%20CHE%20POST%20MATCH%20REPORT.pdf,3,4,49.6,4-1-2-3,38.0,17.0,20.0,19.0,2.0,8.0,2.0,8.0,5.0,0.0,9.0,20.0,15.0,7.0,521.0,467.0,95.0,42.0,15.0,101445.4,89.63531669865642
62,2025-07-09,parissaintgermain,Paris Saint-Germain,Real Madrid C. F.,4,0,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M62%20PSG%20V%20RMA%20POST%20MATCH%20REPORT.pdf,3,4,63.5,4-1-2-3,39.0,17.0,19.0,14.0,1.0,8.0,1.0,7.0,4.0,1.0,4.0,12.0,21.0,10.0,701.0,647.0,160.0,42.0,18.0,104561.2,92.29671897289586
62,2025-07-09,realmadridcf,Real Madrid C. F.,Paris Saint-Germain,0,4,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M62%20PSG%20V%20RMA%20POST%20MATCH%20REPORT.pdf,3,4,30.8,4-1-2-3,21.0,17.0,25.0,24.0,4.0,14.0,3.0,6.0,3.0,0.0,9.0,32.0,19.0,7.0,335.0,283.0,82.0,35.0,11.0,104658.6,84.4776119402985
63,2025-07-13,chelseafc,Chelsea FC,Paris Saint-Germain,3,0,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M63%20CHE%20V%20PSG%20POST%20MATCH%20REPORT.pdf,3,4,32.3,4-2-3-1,13.0,12.0,16.0,18.0,9.0,18.0,1.0,6.0,4.0,0.0,8.0,27.0,22.0,6.0,327.0,263.0,67.0,44.0,9.0,111231.1,80.42813455657492
63,2025-07-13,parissaintgermain,Paris Saint-Germain,Chelsea FC,0,3,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M63%20CHE%20V%20PSG%20POST%20MATCH%20REPORT.pdf,3,4,61.0,4-1-2-3,40.0,18.0,23.0,16.0,1.0,7.0,1.0,10.0,5.0,1.0,4.0,5.0,12.0,15.0,620.0,567.0,136.0,49.0,9.0,109814.3,91.45161290322581
